epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7857142686843872,0.87308669090271,9.999999747378752e-05,0.473620742559433,0.8243243098258972,0.726190447807312,0.5277777910232544,0.5524691343307495,0.7803918123245239,0.5142857432365417,1.0
1,0.9464285969734192,0.9887329936027527,9.999999747378752e-05,0.19976475834846497,0.9518072009086609,0.9404761791229248,0.5277777910232544,0.8302468657493591,0.6910450458526611,0.5142857432365417,1.0
2,0.9583333134651184,0.9954648017883301,9.999999747378752e-05,0.15274548530578613,0.932584285736084,0.988095223903656,0.5555555820465088,0.9706790447235107,0.5906081795692444,0.529411792755127,1.0
3,0.988095223903656,0.9997165203094482,9.999999747378752e-05,0.07714688032865524,1.0,0.976190447807312,0.5833333134651184,1.0,0.5221458077430725,0.5454545617103577,1.0
4,0.9642857313156128,0.9941185116767883,9.999999747378752e-05,0.11431653052568436,0.9534883499145508,0.976190447807312,0.7222222089767456,0.9999999403953552,0.46347883343696594,0.6428571343421936,1.0
5,0.9940476417541504,1.0,9.999999747378752e-05,0.05513749271631241,0.9882352948188782,1.0,0.7222222089767456,0.9999999403953552,0.43332353234291077,0.6428571343421936,1.0
6,1.0,1.0,9.999999747378752e-05,0.028304288163781166,1.0,1.0,0.75,1.0,0.4090203046798706,0.6666666865348816,1.0
7,0.9940476417541504,1.0,9.999999747378752e-05,0.0413702167570591,0.9882352948188782,1.0,0.7777777910232544,1.0,0.3743247985839844,0.692307710647583,1.0
8,0.9940476417541504,1.0000001192092896,9.999999747378752e-05,0.03186561539769173,0.9882352948188782,1.0,0.8333333134651184,1.0,0.32727882266044617,0.75,1.0
9,1.0,1.0,9.999999747378752e-05,0.028494201600551605,1.0,1.0,0.8333333134651184,0.9999999403953552,0.31171491742134094,0.75,1.0
10,0.9642857313156128,0.9982993602752686,9.999999747378752e-05,0.06646221876144409,0.9756097793579102,0.9523809552192688,0.8888888955116272,1.0,0.27762115001678467,0.8181818127632141,1.0
11,0.9702380895614624,0.9988662004470825,9.999999747378752e-05,0.06264487653970718,0.9438202381134033,1.0,0.9444444179534912,1.0,0.25559201836586,0.8999999761581421,1.0
12,0.988095223903656,0.9998582005500793,9.999999747378752e-05,0.03851174935698509,0.9767441749572754,1.0,0.9722222089767456,1.0,0.22169175744056702,0.9473684430122375,1.0
13,0.9940476417541504,0.9998582601547241,9.999999747378752e-05,0.028011664748191833,1.0,0.988095223903656,1.0,1.0,0.19778907299041748,1.0,1.0
14,0.988095223903656,0.9977324604988098,9.999999747378752e-05,0.050706811249256134,0.9767441749572754,1.0,1.0,1.0,0.18591345846652985,1.0,1.0
15,0.9940476417541504,1.0,9.999999747378752e-05,0.018906574696302414,1.0,0.988095223903656,1.0,1.0,0.17442172765731812,1.0,1.0
16,1.0,1.0,9.999999747378752e-05,0.019051963463425636,1.0,1.0,0.9722222089767456,1.0,0.16815383732318878,0.9473684430122375,1.0
17,0.988095223903656,1.0,9.999999747378752e-05,0.029033223167061806,1.0,0.976190447807312,1.0,1.0,0.15083691477775574,1.0,1.0
18,1.0,1.0,9.999999747378752e-05,0.01637233980000019,1.0,1.0,1.0,1.0,0.1374918818473816,1.0,1.0
19,0.9940476417541504,1.0,9.999999747378752e-05,0.010297352448105812,1.0,0.988095223903656,1.0,1.0,0.134365513920784,1.0,1.0
20,0.988095223903656,0.9998583197593689,9.999999747378752e-05,0.03595908358693123,1.0,0.976190447807312,0.9722222089767456,1.0,0.1291956901550293,0.9473684430122375,1.0
21,1.0,1.0,9.999999747378752e-05,0.003156309248879552,1.0,1.0,0.9722222089767456,1.0,0.12487953156232834,0.9473684430122375,1.0
22,0.9940476417541504,1.0,9.999999747378752e-05,0.014463044703006744,0.9882352948188782,1.0,0.9722222089767456,1.0,0.11426682025194168,0.9473684430122375,1.0
23,1.0,1.0,9.999999747378752e-05,0.009339021518826485,1.0,1.0,1.0,1.0,0.08936676383018494,1.0,1.0
24,1.0,1.0,9.999999747378752e-05,0.008953800424933434,1.0,1.0,1.0,1.0,0.08192181587219238,1.0,1.0
25,1.0,1.0,9.999999747378752e-05,0.002186660887673497,1.0,1.0,1.0,1.0,0.07806822657585144,1.0,1.0
26,0.9940476417541504,1.0,9.999999747378752e-05,0.01774338074028492,0.9882352948188782,1.0,1.0,1.0,0.06924499571323395,1.0,1.0
27,0.988095223903656,0.9998583197593689,9.999999747378752e-05,0.017425628378987312,0.988095223903656,0.988095223903656,1.0,1.0,0.06657800078392029,1.0,1.0
28,1.0,1.0,9.999999747378752e-05,0.0040456452406942844,1.0,1.0,1.0,1.0,0.06489021331071854,1.0,1.0
29,0.9940476417541504,0.9980867505073547,9.999999747378752e-05,0.03778069466352463,0.9882352948188782,1.0,1.0,1.0,0.05602447688579559,1.0,1.0
